Carimbo de data/hora,Qual o seu nome?,Como funciona um ataque de Injection?,Quais são as consequências de uma falha criptográfica em uma aplicação web?,"Relacione corretamente as vulnerabilidades com os padrões de segurança correspondentes, escolhendo a alternativa correta:",Como se prevenir de um ataque de Violação/Quebra do Controle de Acesso?,"Sobre injeção de SQL e segurança em bancos de dados, responda: Um sistema web armazena credenciais de usuários em um banco de dados. Qual das seguintes abordagens ainda pode ser vulnerável a um ataque de injeção de SQL, mesmo que pareça segura?",Por que o registro e o monitoramento de atividades são fundamentais para a segurança de um sistema?,"Sobre falhas criptográficas e armazenamento seguro de credenciais, responda: Em relação ao armazenamento de senhas, qual das abordagens abaixo representa a melhor prática em termos de segurança?",Sobre quebra de controle de acesso. Qual das seguintes configurações pode levar a uma vulnerabilidade de quebra de controle de acesso em um sistema web?,"Após um ataque em uma plataforma de e-commerce, onde dados de pagamento dos clientes foram alterados por um atacante, qual seria a melhor prática para evitar falhas de integridade de dados?  ","Em uma empresa, um sistema de controle de versões foi comprometido devido à falta de verificação da autenticidade do código. O que poderia ser feito para melhorar a integridade do software e proteger contra modificações não autorizadas?  ","Em um site de e-commerce, um usuário altera o ID na URL de sua conta de ""12345"" para ""12346"" e acessa os dados de outro usuário. Qual vulnerabilidade de segurança está ocorrendo?  ","Um atacante explora uma falha em um sistema de software, alterando o código-fonte ou os dados armazenados para modificar o comportamento do sistema, comprometendo sua precisão e confiabilidade.  Qual vulnerabilidade está sendo explorada neste cenário?  "
2025-02-25 17:36:49.826,P31,"Em um ataque de injection, um atacante insere comandos maliciosos em um sistema vulnerável. Uma senha forte e complexa pode impedir que isso aconteça, pois ela adiciona uma camada de segurança extra, dificultando a execução de injeções.","Vazamento de dados sensíveis, como senhas e informações pessoais.","1 → A, 2 → B, 3 → C, 4 → D",Implementação de Políticas de Privilégio Mínimo e Access Control,Não sei,Permitem identificar atividades suspeitas e responder rapidamente a incidentes.,"Usar um algoritmo de hash forte, como bcrypt, Argon2 ou PBKDF2, com um salt único para cada senha.",Implementação de controle de acesso no frontend sem reforço no backend.,"Implementar criptografia robusta de dados sensíveis, como números de cartão de crédito, e usar autenticação multifatorial para acesso administrativo.","Implementar assinaturas digitais no código-fonte e usar um sistema de controle de versões que registre todas as alterações, com auditoria rigorosa.",Broken Access Control,Manipulação de código ou dados (exploiting software integrity)
2025-02-25 17:38:24.431,P11,"Em um ataque de injection, um atacante insere comandos maliciosos em um sistema vulnerável. Uma senha forte e complexa pode impedir que isso aconteça, pois ela adiciona uma camada de segurança extra, dificultando a execução de injeções.","Vazamento de dados sensíveis, como senhas e informações pessoais.","1 → A, 2 → B, 3 → C, 4 → D",Implementação de Políticas de Privilégio Mínimo e Access Control,Uso de stored procedures que não concatenam entradas do usuário diretamente em comandos SQL.,Substituem a necessidade de autenticação multifator (MFA).,"Armazenar as senhas em texto plano, mas protegidas por um firewall e acesso restrito ao banco de dados.",Implementação de controle de acesso no frontend sem reforço no backend.,"Implementar criptografia robusta de dados sensíveis, como números de cartão de crédito, e usar autenticação multifatorial para acesso administrativo.",Armazenar o código-fonte em servidores públicos para garantir acesso fácil e rápido.,CSRF,Manipulação de código ou dados (exploiting software integrity)
2025-02-25 17:40:50.853,P4,"Um ataque de injection ocorre quando um sistema permite que dados maliciosos sejam injetados em entradas não validadas, como formulários. Sistemas que validam e sanitizam entradas corretamente podem impedir que esses ataques sejam bem-sucedidos, protegendo a integridade dos dados e do sistema.",Melhora no desempenho do sistema devido ao uso de algoritmos mais rápidos.,"1 → D, 2 → C, 3 → A, 4 → B",Usar apenas URLs para determinar quem pode acessar o quê no sistema.,Utilização de ORM (Object-Relational Mapping) com suporte nativo a escaping de entradas.,Permitem identificar atividades suspeitas e responder rapidamente a incidentes.,Não sei,Uso de JSON Web Tokens (JWT) com um tempo de expiração curto.,"Implementar criptografia robusta de dados sensíveis, como números de cartão de crédito, e usar autenticação multifatorial para acesso administrativo.",Armazenar o código-fonte em servidores públicos para garantir acesso fácil e rápido.,XSS,Injeção de SQL
2025-02-25 17:42:04.830,P8,"Um ataque de injection ocorre quando um sistema permite que dados maliciosos sejam injetados em entradas não validadas, como formulários. Sistemas que validam e sanitizam entradas corretamente podem impedir que esses ataques sejam bem-sucedidos, protegendo a integridade dos dados e do sistema.","Vazamento de dados sensíveis, como senhas e informações pessoais.","1 → B, 2 → A, 3 → D, 4 → C",Implementação de Políticas de Privilégio Mínimo e Access Control,Uso de consultas parametrizadas (prepared statements) com a verificação de tipos das entradas do usuário.,Permitem identificar atividades suspeitas e responder rapidamente a incidentes.,"Usar um algoritmo de hash forte, como bcrypt, Argon2 ou PBKDF2, com um salt único para cada senha.",Uso de JSON Web Tokens (JWT) com um tempo de expiração curto.,"Implementar criptografia robusta de dados sensíveis, como números de cartão de crédito, e usar autenticação multifatorial para acesso administrativo.","Implementar assinaturas digitais no código-fonte e usar um sistema de controle de versões que registre todas as alterações, com auditoria rigorosa.",Injeção de SQL,Cross-Site Scripting (XSS)
2025-02-25 17:43:11.889,P23,"Um ataque de injection ocorre quando um sistema permite que dados maliciosos sejam injetados em entradas não validadas, como formulários. Sistemas que validam e sanitizam entradas corretamente podem impedir que esses ataques sejam bem-sucedidos, protegendo a integridade dos dados e do sistema.","Vazamento de dados sensíveis, como senhas e informações pessoais.","1 → A, 2 → B, 3 → C, 4 → D",Implementação de Políticas de Privilégio Mínimo e Access Control,Validação de entrada do usuário apenas no frontend antes de enviar os dados ao servidor.,Permitem identificar atividades suspeitas e responder rapidamente a incidentes.,"Usar um algoritmo de hash forte, como bcrypt, Argon2 ou PBKDF2, com um salt único para cada senha.",Implementação de controle de acesso no frontend sem reforço no backend.,"Permitir que os clientes alterem suas próprias transações diretamente pelo sistema, sem controles adicionais.","Implementar assinaturas digitais no código-fonte e usar um sistema de controle de versões que registre todas as alterações, com auditoria rigorosa.",XSS,Cross-Site Scripting (XSS)
2025-02-25 17:43:16.812,P18,"Um ataque de injection ocorre quando um sistema permite que dados maliciosos sejam injetados em entradas não validadas, como formulários. Sistemas que validam e sanitizam entradas corretamente podem impedir que esses ataques sejam bem-sucedidos, protegendo a integridade dos dados e do sistema.","Vazamento de dados sensíveis, como senhas e informações pessoais.","1 → A, 2 → B, 3 → C, 4 → D",Não sei,Não sei,Permitem identificar atividades suspeitas e responder rapidamente a incidentes.,"Usar um algoritmo de hash forte, como bcrypt, Argon2 ou PBKDF2, com um salt único para cada senha.",Não sei,"Implementar criptografia robusta de dados sensíveis, como números de cartão de crédito, e usar autenticação multifatorial para acesso administrativo.","Implementar assinaturas digitais no código-fonte e usar um sistema de controle de versões que registre todas as alterações, com auditoria rigorosa.",Injeção de SQL,Injeção de SQL
2025-02-25 17:43:49.463,P29,"Em um ataque de injection, um atacante insere comandos maliciosos em um sistema vulnerável. Uma senha forte e complexa pode impedir que isso aconteça, pois ela adiciona uma camada de segurança extra, dificultando a execução de injeções.","Vazamento de dados sensíveis, como senhas e informações pessoais.","1 → A, 2 → B, 3 → C, 4 → D",Implementação de Políticas de Privilégio Mínimo e Access Control,Validação de entrada do usuário apenas no frontend antes de enviar os dados ao servidor.,Permitem identificar atividades suspeitas e responder rapidamente a incidentes.,"Usar um algoritmo de hash forte, como bcrypt, Argon2 ou PBKDF2, com um salt único para cada senha.",Implementação de controle de acesso no frontend sem reforço no backend.,"Implementar criptografia robusta de dados sensíveis, como números de cartão de crédito, e usar autenticação multifatorial para acesso administrativo.","Implementar assinaturas digitais no código-fonte e usar um sistema de controle de versões que registre todas as alterações, com auditoria rigorosa.",Broken Access Control,Manipulação de código ou dados (exploiting software integrity)
2025-02-25 17:44:30.049,P3,"Um ataque de injection ocorre quando um sistema permite que dados maliciosos sejam injetados em entradas não validadas, como formulários. Sistemas que validam e sanitizam entradas corretamente podem impedir que esses ataques sejam bem-sucedidos, protegendo a integridade dos dados e do sistema.","Vazamento de dados sensíveis, como senhas e informações pessoais.","1 → A, 2 → B, 3 → C, 4 → D",Implementação de Políticas de Privilégio Mínimo e Access Control,Validação de entrada do usuário apenas no frontend antes de enviar os dados ao servidor.,Permitem identificar atividades suspeitas e responder rapidamente a incidentes.,"Usar um algoritmo de hash forte, como bcrypt, Argon2 ou PBKDF2, com um salt único para cada senha.",Implementação de controle de acesso no frontend sem reforço no backend.,"Implementar criptografia robusta de dados sensíveis, como números de cartão de crédito, e usar autenticação multifatorial para acesso administrativo.","Implementar assinaturas digitais no código-fonte e usar um sistema de controle de versões que registre todas as alterações, com auditoria rigorosa.",Broken Access Control,Manipulação de código ou dados (exploiting software integrity)
2025-02-25 17:44:50.805,P5,"Em um ataque de injection, um atacante insere comandos maliciosos em um sistema vulnerável. Uma senha forte e complexa pode impedir que isso aconteça, pois ela adiciona uma camada de segurança extra, dificultando a execução de injeções.","Vazamento de dados sensíveis, como senhas e informações pessoais.","1 → A, 2 → B, 3 → C, 4 → D",Implementação de Políticas de Privilégio Mínimo e Access Control,Uso de consultas parametrizadas (prepared statements) com a verificação de tipos das entradas do usuário.,Permitem identificar atividades suspeitas e responder rapidamente a incidentes.,"Usar um algoritmo de hash forte, como bcrypt, Argon2 ou PBKDF2, com um salt único para cada senha.",Uso de JSON Web Tokens (JWT) com um tempo de expiração curto.,"Implementar criptografia robusta de dados sensíveis, como números de cartão de crédito, e usar autenticação multifatorial para acesso administrativo.","Implementar assinaturas digitais no código-fonte e usar um sistema de controle de versões que registre todas as alterações, com auditoria rigorosa.",Broken Access Control,Manipulação de código ou dados (exploiting software integrity)
2025-02-25 17:47:06.255,P32,"Em um ataque de injection, um atacante insere comandos maliciosos em um sistema vulnerável. Uma senha forte e complexa pode impedir que isso aconteça, pois ela adiciona uma camada de segurança extra, dificultando a execução de injeções.","Vazamento de dados sensíveis, como senhas e informações pessoais.","1 → A, 2 → B, 3 → C, 4 → D",Usar apenas URLs para determinar quem pode acessar o quê no sistema.,Não sei,Permitem identificar atividades suspeitas e responder rapidamente a incidentes.,"Usar um algoritmo de hash forte, como bcrypt, Argon2 ou PBKDF2, com um salt único para cada senha.",Implementação de listas de controle de acesso (ACLs) para definir permissões por função.,"Implementar criptografia robusta de dados sensíveis, como números de cartão de crédito, e usar autenticação multifatorial para acesso administrativo.","Implementar assinaturas digitais no código-fonte e usar um sistema de controle de versões que registre todas as alterações, com auditoria rigorosa.",Broken Access Control,Manipulação de código ou dados (exploiting software integrity)
