Timestamp,Name,How does an Injection attack work?,What are the consequences of a cryptographic failure in a web application?,Correctly match the vulnerabilities with their corresponding security standards by choosing the right option:,How can a Broken Access Control attack be prevented?,"On SQL injection and database security: A web system stores user credentials in a database. Which of the following approaches can still be vulnerable to a SQL injection attack, even though it seems secure?",Why are logging and activity monitoring essential to a system's security?,"On cryptographic failures and secure credential storage: Regarding password storage, which of the approaches below represents the best security practice?",On broken access control: Which of the following configurations can lead to a broken access control vulnerability in a web system?,"After an attack on an e-commerce platform where customers' payment data were altered by an attacker, what would be the best practice to prevent data integrity failures?","In a company, a version control system was compromised due to a lack of verification of code authenticity. What could be done to improve software integrity and protect against unauthorized modifications?","On an e-commerce site, a user changes the ID in their account URL from ""12345"" to ""12346"" and accesses another user's data. Which security vulnerability is occurring?","An attacker exploits a flaw in a software system, altering the source code or stored data to modify the system's behavior, compromising its accuracy and reliability. Which vulnerability is being exploited in this scenario?"
2025-02-25 15:43:50.176,P1,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 15:44:59.530,P3,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,Storing passwords encrypted with AES-256 and a fixed key embedded in the source code.,Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 15:44:59.704,P22,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Cross-Site Scripting (XSS)
2025-02-25 15:45:03.612,P6,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,Storing passwords encrypted with AES-256 and a fixed key embedded in the source code.,Applying the principle of least privilege to all administrative functions.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Cross-Site Scripting (XSS)
2025-02-25 15:45:29.107,P36,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 15:45:38.852,P13,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Using parameterized queries (prepared statements) with type checking of user inputs.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Cross-Site Scripting (XSS)
2025-02-25 15:45:51.419,P29,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Applying the principle of least privilege to all administrative functions.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Cross-Site Scripting (XSS)
2025-02-25 15:46:01.954,P28,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",XSS,Code or data tampering (exploiting software integrity)
2025-02-25 15:46:41.500,P14,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Creating your own hashing algorithm for passwords, since well-known solutions can be compromised.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 15:48:24.364,P41,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → B, 2 → A, 3 → D, 4 → C",Implementing Least Privilege Policies and Access Control,Using stored procedures that do not concatenate user inputs directly into SQL commands.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,SQL Injection
