Timestamp,Name,How does an Injection attack work?,What are the consequences of a cryptographic failure in a web application?,Correctly match the vulnerabilities with their corresponding security standards by choosing the right option:,How can a Broken Access Control attack be prevented?,"On SQL injection and database security: A web system stores user credentials in a database. Which of the following approaches can still be vulnerable to a SQL injection attack, even though it seems secure?",Why are logging and activity monitoring essential to a system's security?,"On cryptographic failures and secure credential storage: Regarding password storage, which of the approaches below represents the best security practice?",On broken access control: Which of the following configurations can lead to a broken access control vulnerability in a web system?,"After an attack on an e-commerce platform where customers' payment data were altered by an attacker, what would be the best practice to prevent data integrity failures?","In a company, a version control system was compromised due to a lack of verification of code authenticity. What could be done to improve software integrity and protect against unauthorized modifications?","On an e-commerce site, a user changes the ID in their account URL from ""12345"" to ""12346"" and accesses another user's data. Which security vulnerability is occurring?","An attacker exploits a flaw in a software system, altering the source code or stored data to modify the system's behavior, compromising its accuracy and reliability. Which vulnerability is being exploited in this scenario?"
2025-02-25 17:36:49.826,P31,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 17:38:24.431,P11,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Using stored procedures that do not concatenate user inputs directly into SQL commands.,They replace the need for multi-factor authentication (MFA).,"Storing passwords in plain text, but protected by a firewall and restricted access to the database.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.",Storing the source code on public servers to ensure easy and fast access.,CSRF,Code or data tampering (exploiting software integrity)
2025-02-25 17:40:50.853,P4,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.",Improved system performance due to the use of faster algorithms.,"1 → D, 2 → C, 3 → A, 4 → B",Using only URLs to determine who can access what in the system.,Using an ORM (Object-Relational Mapping) with native support for input escaping.,They allow suspicious activity to be identified and incidents to be responded to quickly.,I don't know,Using JSON Web Tokens (JWT) with a short expiration time.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.",Storing the source code on public servers to ensure easy and fast access.,XSS,SQL Injection
2025-02-25 17:42:04.830,P8,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → B, 2 → A, 3 → D, 4 → C",Implementing Least Privilege Policies and Access Control,Using parameterized queries (prepared statements) with type checking of user inputs.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Using JSON Web Tokens (JWT) with a short expiration time.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",SQL Injection,Cross-Site Scripting (XSS)
2025-02-25 17:43:11.889,P23,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Allowing customers to change their own transactions directly through the system, without additional controls.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",XSS,Cross-Site Scripting (XSS)
2025-02-25 17:43:16.812,P18,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",I don't know,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",I don't know,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",SQL Injection,SQL Injection
2025-02-25 17:43:49.463,P29,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 17:44:30.049,P3,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 17:44:50.805,P5,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Using parameterized queries (prepared statements) with type checking of user inputs.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Using JSON Web Tokens (JWT) with a short expiration time.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 17:47:06.255,P32,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Using only URLs to determine who can access what in the system.,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control lists (ACLs) to define permissions per role.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 17:48:59.415,P7,"In an injection attack, an attacker inserts malicious commands into a vulnerable system. A strong, complex password can prevent this from happening, as it adds an extra layer of security, making injection harder to execute.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",CSRF,SQL Injection
2025-02-25 17:51:50.137,P16,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → B, 2 → A, 3 → D, 4 → C",Implementing Least Privilege Policies and Access Control,I don't know,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Creating your own hashing algorithm for passwords, since well-known solutions can be compromised.",I don't know,I don't know,"Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,Code or data tampering (exploiting software integrity)
2025-02-25 17:52:03.962,P33,"An injection attack occurs when a system allows malicious data to be injected into unvalidated inputs, such as forms. Systems that properly validate and sanitize inputs can prevent these attacks from succeeding, protecting the integrity of the data and the system.","Leakage of sensitive data, such as passwords and personal information.","1 → A, 2 → B, 3 → C, 4 → D",Implementing Least Privilege Policies and Access Control,Validating user input only on the frontend before sending the data to the server.,They allow suspicious activity to be identified and incidents to be responded to quickly.,"Using a strong hashing algorithm, such as bcrypt, Argon2, or PBKDF2, with a unique salt for each password.",Implementing access control on the frontend without enforcement on the backend.,"Implementing robust encryption of sensitive data, such as credit card numbers, and using multi-factor authentication for administrative access.","Implementing digital signatures in the source code and using a version control system that logs all changes, with rigorous auditing.",Broken Access Control,SQL Injection
